Reference, Value, Footprint, Datasheet, Arrow Part Number, Arrow Price/Stock, Description, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock
"J5","USB-3V3","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"J3","Aux1","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"J4","Aux2","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~"
"C4","0.1u","Capacitor_SMD:C_0805_2012Metric","~"
"J2","thermistor","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"C2","1u","Capacitor_SMD:C_0805_2012Metric","~"
"R2","10K","Resistor_SMD:R_0805_2012Metric","~"
"R3","10K","Resistor_SMD:R_0805_2012Metric","~"
"C5","0.1u","Capacitor_SMD:C_0805_2012Metric","~"
"R4","10K","Resistor_SMD:R_0805_2012Metric","~"
"SW1","reset","Button_Switch_SMD:SW_SPST_TL3342","~"
"R1","6R8","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal","~"
"J1","PWR","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"C1","1000u","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"C3","1000u","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"J6","PROG","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"R8","10K","Resistor_SMD:R_0805_2012Metric","~"
"R6","10K","Resistor_SMD:R_0805_2012Metric","~"
"R7","10K","Resistor_SMD:R_0805_2012Metric","~"
"R9","10K","Resistor_SMD:R_0805_2012Metric","~"
"D1","LED","LED_THT:LED_D3.0mm","~"
"R5","180R","Resistor_SMD:R_0805_2012Metric","~"
"U1","ESP-12E","esp-8266:ESP-12E","http://l0l.org.uk/2014/12/esp8266-modules-hardware-guide-gotta-catch-em-all/"
"D2","LED","LED_THT:LED_D3.0mm","~"
"R10","180R","Resistor_SMD:R_0805_2012Metric","~"
"J7","OUT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"K1","CPC1966Y","reprapltd-kicad:CPC1966Y","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets_SAMA/4bd38bcd53ac06cbf93d43ee226943fd.pdf","CPC1966Y","https://www.arrow.com/en/products/cpc1966y/ixys","IXYS 3 A rms SPNO Solid State Relay, Zero Crossing, PCB Mount SCR, 240 V ac Maximum Load","10","LITTELFUSE","CPC1966Y","849-CPC1966Y","https://www.mouser.co.uk/ProductDetail/IXYS-Integrated-Circuits/CPC1966Y?qs=8uBHJDVwVqxNfAOiNv29Iw%3D%3D"
"R11","1K","Resistor_SMD:R_0805_2012Metric","~"
"J8","mains","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~"
"Q1","FDD8870","Package_TO_SOT_SMD:TO-252-2","http://www.jaolen.com/images/pdf/QM6006D.pdf"
"H4","MountingHole","MountingHole:MountingHole_2.5mm","~"
"H3","MountingHole","MountingHole:MountingHole_2.5mm","~"
"H2","MountingHole","MountingHole:MountingHole_2.5mm","~"
"H1","MountingHole","MountingHole:MountingHole_2.5mm","~"
"J9","led-select","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"U2","78033","Package_TO_SOT_SMD:TO-252-2","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"JP1","SolderJumper_2_Bridged","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm","~"
