Ref,Val,Package,Mid X,Mid Y,Rot,Side
C2,1u,C_0805_2012Metric,73,-162,270,top
C4,0.1u,C_0805_2012Metric,70.612,-139.954,90,top
C5,0.1u,C_0805_2012Metric,72,-153,0,top
Q1,FDD8870,TO-252-2,39.37,-144.399,270,top
R2,10K,R_0805_2012Metric,73.914,-158.623,0,top
R3,10K,R_0805_2012Metric,71.12,-144.272,270,top
R4,10K,R_0805_2012Metric,72,-156,180,top
R5,180R,R_0805_2012Metric,44,-154,0,top
R6,10K,R_0805_2012Metric,47.942,-139.7,0,top
R7,10K,R_0805_2012Metric,47.942,-142.748,0,top
R8,10K,R_0805_2012Metric,47.942,-145.796,0,top
R9,10K,R_0805_2012Metric,47.942,-148.463,0,top
R10,180R,R_0805_2012Metric,40.005,-163.449,180,top
R11,1K,R_0805_2012Metric,26,-148,90,top
SW1,reset,SW_SPST_TL3342,73,-169,0,top
U1,ESP-12E,ESP-12E,67.056,-155.067,180,top
U2,78033,TO-252-2,50.927,-173.355,0,top
