Workshop,Workshop,ON,19.9,1551700996
Workshop,Workshop,OFF,20,1551701114
Workshop,Workshop,ON,19.8,1551701172
Workshop,Workshop,OFF,20,1551701349
Workshop,Workshop,ON,19.9,1551701473
Workshop,Office,ON,20.9,1551701477
Workshop,ChemistryLab,ON,19.9,1551701508
Workshop,Workshop,OFF,20,1551701661
Workshop,Workshop,ON,19.8,1551701686
Workshop,Workshop,OFF,20.1,1551701811
Workshop,Office,OFF,21.1,1551701830
Workshop,ChemistryLab,OFF,20,1551701876
Workshop,ChemistryLab,ON,19.9,1551701937
Workshop,ChemistryLab,OFF,20,1551702000
Workshop,Workshop,ON,19.9,1551702408
Workshop,Workshop,OFF,20,1551702466
Workshop,Workshop,ON,19.9,1551702584
Workshop,Workshop,OFF,20,1551702708
Workshop,ElectronicsLab,ON,20.9,1551702770
Workshop,Workshop,ON,19.9,1551702832
Workshop,ElectronicsLab,OFF,21.1,1551702956
Workshop,Workshop,OFF,20,1551703016
Workshop,Office,ON,20.9,1551703501
Workshop,Workshop,ON,19.9,1551703698
Workshop,Office,OFF,21.1,1551703746
Workshop,Workshop,OFF,20,1551703755
Workshop,Workshop,ON,19.9,1551704062
Workshop,Workshop,OFF,20,1551704241
Workshop,Workshop,ON,19.9,1551704298
Workshop,Workshop,OFF,20,1551704360
Workshop,Workshop,ON,19.8,1551704479
Workshop,Workshop,OFF,20.2,1551704544
Workshop,Workshop,ON,19.9,1551704606
Workshop,ChemistryLab,ON,19.9,1551704716
Workshop,ChemistryLab,OFF,20,1551704764
Workshop,ChemistryLab,ON,19.9,1551704825
Workshop,Workshop,OFF,20,1551704914
Workshop,Workshop,ON,19.7,1551704973
Workshop,Workshop,OFF,20.1,1551705272
Workshop,Workshop,ON,19.8,1551705294
Workshop,ChemistryLab,OFF,20,1551705459
Workshop,Workshop,OFF,20.1,1551705472
Workshop,ChemistryLab,ON,19.9,1551705521
Workshop,Workshop,ON,19.9,1551705529
Workshop,ElectronicsLab,ON,20.9,1551705535
Workshop,Office,ON,20.8,1551705552
Workshop,ChemistryLab,OFF,20,1551705580
Workshop,ElectronicsLab,OFF,21.1,1551705654
Workshop,Workshop,OFF,20,1551705714
Workshop,Workshop,ON,19.9,1551705834
Workshop,Office,OFF,21,1551705865
Workshop,Workshop,OFF,20,1551705894
Workshop,Workshop,ON,19.9,1551706016
Workshop,Workshop,OFF,20,1551706196
Workshop,Workshop,ON,19.9,1551706312
Workshop,Workshop,OFF,20.1,1551706801
Workshop,Workshop,ON,19.9,1551706857
Workshop,Workshop,OFF,20,1551706977
Workshop,ChemistryLab,ON,19.9,1551707072
Workshop,ChemistryLab,OFF,20.1,1551707129
Workshop,ChemistryLab,ON,19.9,1551707246
Workshop,Workshop,ON,19.9,1551707280
Workshop,ChemistryLab,OFF,20,1551707366
Workshop,ChemistryLab,ON,19.9,1551707426
Workshop,ChemistryLab,OFF,20,1551707484
Workshop,Workshop,OFF,20,1551707519
Workshop,Workshop,ON,19.7,1551707640
Workshop,Workshop,OFF,20.1,1551707703
Workshop,Office,ON,20.9,1551707774
Workshop,Office,OFF,21,1551707948
Workshop,Workshop,ON,19.9,1551708241
Workshop,Workshop,OFF,20,1551708301
Workshop,Workshop,ON,19.9,1551708364
Workshop,ChemistryLab,ON,19.9,1551708372
Workshop,ElectronicsLab,ON,20.9,1551708417
Workshop,ElectronicsLab,OFF,21.1,1551708535
Workshop,ChemistryLab,OFF,20,1551708797
Workshop,Workshop,OFF,20,1551708902
Workshop,Workshop,ON,19.9,1551708959
Workshop,Workshop,OFF,20,1551709020
Workshop,Workshop,ON,19.9,1551709202
Workshop,Workshop,OFF,20.1,1551709265
Workshop,Workshop,ON,19.9,1551709629
Workshop,Workshop,OFF,20.1,1551709686
Workshop,Workshop,ON,19.9,1551709926
Workshop,Workshop,OFF,20.1,1551710111
Workshop,Workshop,ON,19.9,1551710168
Workshop,Workshop,OFF,20.1,1551710228
Workshop,Office,ON,20.9,1551710271
Workshop,ChemistryLab,ON,19.9,1551710305
Workshop,ChemistryLab,OFF,20,1551710366
Workshop,Workshop,ON,19.8,1551710596
Workshop,Workshop,OFF,20,1551710653
Workshop,Office,OFF,21.5,1551710686
Workshop,Workshop,ON,19.9,1551710710
Workshop,Workshop,OFF,20.1,1551710772
